"DATABASE_NAME","model_inducer","cost_function_type","payment_selection_criteria","repetition","curve_integration"
"pen digits","RF","asymptotic","random100",1,0.976043373254511
"pen digits","RF","asymptotic","random100",2,0.947626678655335
"pen digits","RF","asymptotic","random100",3,0.983613337536873
"pen digits","RF","asymptotic","random100",4,0.961277839244371
"pen digits","RF","asymptotic","random100",5,0.96917927882278
"pen digits","RF","asymptotic","random100",6,0.974730110108009
"pen digits","RF","asymptotic","random100",7,0.93559604983922
"pen digits","RF","asymptotic","random100",8,0.939585437946381
"pen digits","RF","asymptotic","random100",9,0.975678910349597
"pen digits","RF","asymptotic","random100",10,0.970623132090983
"pen digits","RF","asymptotic","random100",11,0.964328003904228
"pen digits","RF","asymptotic","random100",12,0.985837064650704
"pen digits","RF","asymptotic","random100",13,0.965234182176126
"pen digits","RF","asymptotic","random100",14,0.962383230592061
"pen digits","RF","asymptotic","random100",15,0.96101839040618
"pen digits","RF","asymptotic","random100",16,0.932745767966306
"pen digits","RF","asymptotic","random100",17,0.967327407874938
"pen digits","RF","asymptotic","random100",18,0.974034409494665
"pen digits","RF","asymptotic","random100",19,0.979923362005434
"pen digits","RF","asymptotic","random100",20,0.973614197764879
"pen digits","RF","concave","random100",1,0.956919681616895
"pen digits","RF","concave","random100",2,0.911956111006202
"pen digits","RF","concave","random100",3,0.962193837901107
"pen digits","RF","concave","random100",4,0.952504802190894
"pen digits","RF","concave","random100",5,0.977633117043149
"pen digits","RF","concave","random100",6,0.969116746863317
"pen digits","RF","concave","random100",7,0.933289959002541
"pen digits","RF","concave","random100",8,0.966177589514006
"pen digits","RF","concave","random100",9,0.970102125250548
"pen digits","RF","concave","random100",10,0.961878763582258
"pen digits","RF","concave","random100",11,0.916135636833894
"pen digits","RF","concave","random100",12,0.976851797026569
"pen digits","RF","concave","random100",13,0.933387019301228
"pen digits","RF","concave","random100",14,0.957752357005666
"pen digits","RF","concave","random100",15,0.957633878352968
"pen digits","RF","concave","random100",16,0.948774337714241
"pen digits","RF","concave","random100",17,0.895780345063303
"pen digits","RF","concave","random100",18,0.964606625657445
"pen digits","RF","concave","random100",19,0.95303086021843
"pen digits","RF","concave","random100",20,0.965733465224013
"pen digits","RF","fix","min_pay_per_label100",1,0.993037798065625
"pen digits","RF","fix","min_pay_per_label100",2,0.985547312275276
"pen digits","RF","fix","min_pay_per_label100",3,0.991495336673518
"pen digits","RF","fix","min_pay_per_label100",4,0.993413670986191
"pen digits","RF","fix","min_pay_per_label100",5,0.995184879751519
"pen digits","RF","fix","min_pay_per_label100",6,0.996845283958048
"pen digits","RF","fix","min_pay_per_label100",7,0.98694442674767
"pen digits","RF","fix","min_pay_per_label100",8,0.994846951689787
"pen digits","RF","fix","min_pay_per_label100",9,0.995971388434283
"pen digits","RF","fix","min_pay_per_label100",10,0.992250356787281
"pen digits","RF","fix","min_pay_per_label100",11,0.989633415871361
"pen digits","RF","fix","min_pay_per_label100",12,0.994118766273971
"pen digits","RF","fix","min_pay_per_label100",13,0.982459647324027
"pen digits","RF","fix","min_pay_per_label100",14,0.992443839309196
"pen digits","RF","fix","min_pay_per_label100",15,0.996556752998069
"pen digits","RF","fix","min_pay_per_label100",16,0.994121244130504
"pen digits","RF","fix","min_pay_per_label100",17,0.986233334998228
"pen digits","RF","fix","min_pay_per_label100",18,0.995963268692284
"pen digits","RF","fix","min_pay_per_label100",19,0.995067352038847
"pen digits","RF","fix","min_pay_per_label100",20,0.99248744043156
"pen digits","RF","fix","random100",1,0.980881321058619
"pen digits","RF","fix","random100",2,0.962874661956658
"pen digits","RF","fix","random100",3,0.9809429178802
"pen digits","RF","fix","random100",4,0.982791885630071
"pen digits","RF","fix","random100",5,0.990379108698233
"pen digits","RF","fix","random100",6,0.989764373590118
"pen digits","RF","fix","random100",7,0.959262528189572
"pen digits","RF","fix","random100",8,0.983449948243507
"pen digits","RF","fix","random100",9,0.988281943268028
"pen digits","RF","fix","random100",10,0.980020589948743
"pen digits","RF","fix","random100",11,0.977664993274229
"pen digits","RF","fix","random100",12,0.984228518266322
"pen digits","RF","fix","random100",13,0.954825098449213
"pen digits","RF","fix","random100",14,0.985499478988181
"pen digits","RF","fix","random100",15,0.983638291079293
"pen digits","RF","fix","random100",16,0.985574129258925
"pen digits","RF","fix","random100",17,0.930235535795317
"pen digits","RF","fix","random100",18,0.965650269628518
"pen digits","RF","fix","random100",19,0.98296238379857
"pen digits","RF","fix","random100",20,0.970618189587469
