payment_selection_criteria,alias ,color,linetype,pch
max_pay_per_label100,MaxPay,deepskyblue4,solid,0
max_ratio100,ALP-MR,blue,solid,1
max_total_ratio100,ALP-MTR,red,solid,3
min_pay_per_label100,MinPay,brown,solid,5
random100,Uniform,black,solid,6
max_total_ratio100_reg,ALP-MTR-PAYMENT-REG,brown4,solid,3
random100_05_instancesperbatch,Uniform-05,black,solid,6
random100_10_instancesperbatch,Uniform-10,black,solid,6
random100_15_instancesperbatch,Uniform-15,black,solid,6
max_total_ratio100_05_instancesperbatch,ALP-MTR-BATCH-SIZE-05,darkgreen,solid,1
max_total_ratio100_10_instancesperbatch,ALP-MTR-BATCH-SIZE-10,red,solid,2
max_total_ratio100_15_instancesperbatch,ALP-MTR-BATCH-SIZE-15,darkgoldenrod,solid,3
max_ratio1e+06,ALP-MR-FULL-HISTORY,green,solid,2
max_total_ratio1e+06,ALP-MTR-FULL-HISTORY,orange,solid,4
max_total_ratio100-rcv,ALP-MTR-SINGLE-CV,SaddleBrown,solid,0
max_total_ratio100-1_batch_omission,ALP-MTR-SINGLE-OMISSION,ForestGreen,solid,0
max_ratio100-rl3,ALP-MR-REPEATED-LABELING,blue,solid,1
max_ratio1e+06-rl3,ALP-MR-HISTORY-REPEATED-LABELING,green,solid,2
max_total_ratio100-rl3,ALP-MTR-REPEATED-LABELING,red,solid,3
max_total_ratio1e+06-rl3,ALP-MTR-HISTORY-REPEATED-LABELING,orange,solid,4
random100-rl3,Uniform-REPEATED-LABELING,black,solid,6
